id,price,category,subcat,# of bedrooms,# of bathrooms,build size,land size,subdivision,data furnished,latitude,longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6142AF0F64E55PH,8795130,house,single-family-house,4,4,206,231,Governors Hills,,120.918211,14.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61D40E043B624PH,40322000,house,townhouse,3,3,323.8,90,Likha Residences,,121.0449202,14.43792439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D4CD02EE117DPH,3800000,house,single-family-house,3,2,72,88,Ajoya Pampanga,,120.656765,15.128614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D4CCE6A4E662PH,3100000,house,single-family-house,2,2,59,88,Ajoya Pampanga,,120.656765,15.128614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6229AED8736F6PH,5969000,house,townhouse,4,3,83,99,Camella Monticello,,121.042335,14.833591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO625001CF25931PH,795072.54,house,townhouse,1,1,34,28, Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5F3627E3B3119PH,5182963,house,single-family-house,3,2,112.36,80,North Orchard Residences,,120.968433,14.843994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6256614F5195APH,6500000,house,townhouse,3,2,78,70,Zen Homes,,121.119667,14.598722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64792384PH,7860000,house,single-family-house,4,2,116.64,176,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO623D828D9994FPH,3333825,house,single-family-house,2,1,46,60,Camella Gran Europa,,124.600854,8.418888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62284E54409E6PH,6400000,house,townhouse,4,3,83,99,Camella Savannah,,122.513297,10.745144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO623D8861AFEE7PH,9045570,house,single-family-house,5,3,142,142,Camella Gran Europa,,124.600854,8.418888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO623D894DAFFB2PH,12167725,house,single-family-house,5,3,166,210,Camella Gran Europa,,124.600854,8.418888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO623D81BDB712FPH,3217730,house,single-family-house,2,1,40,60,Camella Gran Europa,,124.600854,8.418888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6225D1030DA41PH,7226000,house,single-family-house,5,3,100,110,Camella Provence,,120.799475,14.87788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5FF414A760A85PH,5548360,house,single-family-house,4,4,107.78,120,The Gentri Heights,,120.904361,14.296605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6049B309C3687PH,16000000,house,single-family-house,4,5,254,337,Ameria,,125.6853035,7.2970328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5F213E5CCB666PH,5182963,house,single-family-house,3,2,112.36,80,North Orchard Residences,,120.968433,14.843994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6225D10020E5APH,8654000,house,single-family-house,5,3,140,121,Camella Provence,,120.799475,14.87788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D1AF3417FB37PH,4700000,house,single-family-house,3,2,81,110,Ajoya Cabanatuan,,120.988774,15.47594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D1D9EA734F94PH,6000000,house,single-family-house,3,2,103,143,The Villages at Lipa,,121.165534,14.007163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6142AF13A105EPH,6841640,house,single-family-house,4,3,160,154,Governors Hills,,120.918211,14.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA471785AFPH,7410000,house,single-family-house,4,3,100,120,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5CECE49F6F867PH,4336908,house,single-family-house,3,2,112.5,72.5,Las Brisas at Tierra del Sol,,120.83577,14.29045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62500A9097FB0PH,1013431.19,house,townhouse,1,1,34,52,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6227276E1E50BPH,9753000,house,single-family-house,5,3,166,156,Camella Taal,,120.952088,13.880806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6225D0FF1E52APH,7707000,house,single-family-house,5,3,100,121,Camella Provence,,120.799475,14.87788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD5D1AC9ED51E20PH,14100000,house,beach-house,4,3,150,200,Seafront Residences,,121.428003,13.740666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5E684C2E98974PH,5200000,house,single-family-house,5,3,107,141,Ajoya Pampanga,,120.656765,15.128614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO616D30020B0A0PH,1840804.75,house,townhouse,2,1,43,47.25,Gran Avila,,121.104962,14.196755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6142AF0B005E1PH,5039190,house,single-family-house,3,2,109.5,120,Governors Hills,,120.918211,14.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6142AF104116FPH,9614253,house,single-family-house,4,3,103,168,Washington Place,,120.964753,14.287385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO623D8C3C51353PH,12254710,house,single-family-house,5,3,166,166,Camella Gran Europa,,124.600854,8.418888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5FD049C5E18C5PH,2624075,house,single-family-house,3,1,62.5,50,The Arcadia,,120.552505,15.116067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61DE48090B71BPH,2698000,house,townhouse,3,2,65,60,Primavera Homes Phase 2,,121.1567437,14.0661817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64667FF8PH,1817900,house,single-family-house,2,1,52,80,Sentosa,,121.122173,14.176345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO828HO84JTZINTRESPH,9268000,house,single-family-house,5,3,179.02,176,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO616FF2AB4C17FPH,11700000,house,townhouse,3,4,201.81,93,Verdancy Garden Terraces,,121.141432,14.611857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61EFA95686C6BPH,4353328,house,single-family-house,2,2,96.2,100,Ara Vista Village,,120.918211,14.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6142AF0B7953FPH,7841100,house,single-family-house,4,3,167,154,Governors Hills,,120.918211,14.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D1DA21B467D7PH,7900000,house,single-family-house,5,3,150,150,The Villages at Lipa,,121.165534,14.007163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62552D94F1675PH,3447600,house,single-family-house,5,3,97,110,The Villages at Lipa,,125.788977,7.424235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6142AF176E873PH,2581630,house,townhouse,2,1,88.1,74,Governors Hills,,120.918211,14.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6092758267C51PH,1880600,house,townhouse,3,1,40,40,Lancaster New City,,120.898962,14.4185112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA4718F0F9PH,2395000,house,townhouse,3,2,60,50,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5E38E4250BA4FPH,5421509,house,single-family-house,3,3,119.1,104,West Beverly Hills,,120.947323,14.27863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO60927583A35F7PH,1880600,house,townhouse,3,1,40,40,Lancaster New City,,120.896613,14.37318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5CEF3C0ADE5C4PH,4336908,house,single-family-house,3,2,112.5,72.5,Las Brisas at Tierra del Sol,,120.83577,14.29045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62500A9242AE0PH,795072.54,house,townhouse,1,1,34,28,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA470AD7DAPH,3336800,house,townhouse,4,2,70,60,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61DE4A8EC867APH,3775000,house,single-family-house,4,2,80,120,Primavera Homes Phase 2,,121.1567437,14.0661817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD5D1AC9EC38738PH,11300000,house,beach-house,3,2,100,200,Seafront Residences,,121.428003,13.740666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5E38E42462F69PH,4300000,house,single-family-house,3,3,121.4,98,West Beverly Hills,,120.947323,14.27863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6229AED91CD73PH,3109000,house,single-family-house,2,1,42,63,Camella Monticello,,121.042335,14.833591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6092758670E14PH,2389000,house,townhouse,3,1,50,50,Lancaster New City,,120.898962,14.4185112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA46FC26CDPH,5978000,house,single-family-house,3,3,90,100,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141C5747715BPH,6085537,house,single-family-house,3,2,117.24,120,Siena Hills,,121.185,13.91295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5F3627E318C53PH,5182963,house,single-family-house,3,2,112.36,80,North Orchard Residences,,120.968433,14.843994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA473A108CPH,5690000,house,single-family-house,3,2,72,100,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6045CDE00E71FPH,8473000,house,single-family-house,4,4,155.06,66,The Villas at Dasmariñas Highlands,,120.948336,14.311277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61DE4696AF8EDPH,1995000,house,townhouse,2,1,50,60,Primavera Homes Phase 2,,121.1567437,14.0661817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64D26D6BPH,2406200,house,townhouse,3,1,79.13,60,Sentosa,,121.122173,14.176345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO60927585963DCPH,7410000,house,single-family-house,4,3,100,120,Lancaster New City,,120.896613,14.37318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA4708D7FCPH,5282600,house,single-family-house,3,2,80,92,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO609275825E88FPH,6650000,house,single-family-house,3,2,84,120,Lancaster New City,,120.896613,14.37318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO828HO85JTYINTRESPH,5941000,house,single-family-house,3,2,112.6,120,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO828HO83JUAINTRESPH,9434000,house,single-family-house,3,4,174.66,176,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A6499A4E5PH,5941000,house,single-family-house,3,2,112.6,120,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO603F55E4B7ECBPH,9311032,house,single-family-house,3,2,122,294,Ameria,,125.6853035,7.2970328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64E0FF73PH,8913000,house,single-family-house,4,3,147.23,176,Verona,,121.012375,14.183344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6049B30C52D5FPH,12000000,house,single-family-house,3,2,124,388,Ameria,,125.6853035,7.2970328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5FD049804F7A7PH,2643962.5,house,single-family-house,3,1,62.5,50,The Arcadia,,120.552505,15.116067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6181F22F7A273PH,5234791,house,single-family-house,3,2,75,112,PTC Suncrest,,120.9289746,14.4234269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62272D501063CPH,7735000,house,single-family-house,5,3,97,130,Camella Taal,,120.952088,13.880806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6225D100EA42CPH,5110000,house,single-family-house,3,2,66,88,Camella Quezon,,121.562286,13.96444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO622EF30E1CD06PH,2813000,house,single-family-house,2,1,40,54,Camella Baliwag,,120.896358,14.966359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO622B29E0204E1PH,5057000,house,single-family-house,3,2,66,94,Camella Balanga Heights,,120.52774,14.652293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6229C4989512BPH,4324000,house,townhouse,2,1,40,88,Camella Provence,,120.799475,14.87788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6229C4997720EPH,2338000,house,townhouse,2,1,40,40,Camella Provence,,120.799475,14.87788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5E69C4C7AA671PH,2586000,house,single-family-house,2,1,86,121,Camella Provence,,120.686532,15.101341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO603F5330707B6PH,11637679,house,single-family-house,4,3,206,294,Ameria,,125.6853035,7.2970328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61D40E0AE640CPH,28844000,house,townhouse,3,3,250,92,Likha Residences,,121.0449202,14.43792439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61D40DF6ED63FPH,39675000,house,townhouse,3,3,323.8,90,Likha Residences,,121.0449202,14.43792439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D1D5E135F973PH,4300000,house,single-family-house,2,1,46,120,Amoa Enclave,,123.989101,10.447256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5D4CD14D4896DPH,4400000,house,single-family-house,4,3,91,110,Ajoya Pampanga,,120.656765,15.128614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO60927673DB3C7PH,5282600,house,single-family-house,3,2,80,92,Lancaster New City,,120.896613,14.37318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO608BA472D7CDAPH,6650000,house,single-family-house,3,2,84,120,Lancaster New City,,120.9062254,14.4084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO609275826C6FFPH,6756360,house,single-family-house,4,3,110,100,Lancaster New City,,120.898962,14.4185112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A64302378PH,7032800,house,single-family-house,4,3,149.19,176,Sentosa,,121.122173,14.176345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141A6436C245PH,6396780,house,single-family-house,4,2,115.08,176,Sentosa,,121.122173,14.176345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6141C578DC14APH,9540880,house,single-family-house,4,3,178.7,176,Siena Hills,,121.185,13.91295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO622F1F780510DPH,2945000,house,townhouse,3,2,65,60,Primavera Homes Phase 2,,121.1567437,14.0661817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO61DE446290B04PH,1638000,house,townhouse,2,1,42,60,Primavera Homes Phase 2,,121.1567437,14.0661817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO5CECE74895CA4PH,8473000,house,single-family-house,4,4,155.06,66,The Villas at Dasmariñas Highlands,,120.948336,14.311277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO6045CDDF3C4A8PH,8473000,house,single-family-house,4,4,155.06,66,The Villas at Dasmariñas Highlands,,120.948336,14.311277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62500A8ED42B3PH,795072.54,house,townhouse,1,1,34,28,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO62500A90E6412PH,913350.14,house,townhouse,1,1,34,41,Marytown Place,,121.012734,14.835455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
